Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,214,250,2014,Summer,9,0,0,0,0,9,TALREJA R
AERO,289,300,2014,Summer,2,2,2,0,0,6,SHRYOCK K
AERO,289,700,2014,Summer,0,2,3,1,0,6,SHRYOCK K
AERO,310,300,2014,Summer,1,6,4,0,0,11,HURTADO J
AERO,310,700,2014,Summer,0,7,5,1,0,13,HURTADO J
AERO,320,300,2014,Summer,11,3,1,0,0,15,MORTARI D
AERO,485,250,2014,Summer,9,0,0,0,0,9,TALREJA R
BMEN,485,150,2014,Summer,6,0,0,0,0,6,MAITLAND K
BMEN,489,150,2014,Summer,7,0,0,0,0,7,PISHKO M
CHEN,205,300,2014,Summer,4,9,11,0,0,24,HOLTZAPPLE M
CHEN,323,100,2014,Summer,2,9,2,0,0,13,VADDIRAJU S
CHEN,455,151,2014,Summer,17,4,0,0,0,21,CHENG Z
CHEN,464,200,2014,Summer,7,15,13,0,2,37,JEONG H
CHEN,489,150,2014,Summer,21,0,0,0,0,21,JAYARAMAN A
CVEN,221,300,2014,Summer,8,2,0,0,0,10,BEASON W
CVEN,302,300,2014,Summer,4,3,3,0,0,10,CHANG K
CVEN,305,301,2014,Summer,15,33,13,2,1,64,LOWERY L
CVEN,339,151,2014,Summer,9,4,1,1,0,15,OLIVERA F
CVEN,339,200,2014,Summer,8,14,9,0,0,31,BRUMBELOW J
CVEN,342,301,2014,Summer,3,6,1,0,0,10,PARK P
CVEN,342,302,2014,Summer,2,8,2,0,0,12,PARK P
CVEN,365,301,2014,Summer,3,7,4,1,0,15,BRIAUD J
CVEN,365,302,2014,Summer,2,3,1,2,0,8,BRIAUD J
CVEN,365,303,2014,Summer,1,3,5,1,0,10,BRIAUD J
CVEN,400,300,2014,Summer,4,3,1,0,0,8,ZOLLINGER D
CVEN,403,100,2014,Summer,23,0,0,0,0,23,GHARAIBEH N
CVEN,423,150,2014,Summer,9,2,3,0,1,15,OLIVERA F
CVEN,444,150,2014,Summer,5,2,1,0,0,8,BARROSO L
CVEN,483,150,2014,Summer,6,2,0,0,0,8,BARROSO L
ENGR,111,100,2014,Summer,6,6,6,1,0,19,SCHREUDERS P
ENGR,112,200,2014,Summer,22,32,16,0,2,72,RICHARD J
