Department,Class,Section,Year,Semester,A,B,C,D,F,Total,Name
AERO,201,300,2015,Summer,2,5,1,0,0,8,STRGANAC T
AERO,210,300,2015,Summer,2,4,1,0,0,7,POLLOCK T
AERO,214,150,2015,Summer,3,3,0,0,0,6,TALREJA R
AERO,220,300,2015,Summer,5,2,3,0,1,11,HERNANDEZ P
AERO,304,151,2015,Summer,7,0,0,0,0,7,KINRA V
AERO,306,300,2015,Summer,5,9,11,4,0,29,WHITCOMB J
CHEN,205,300,2015,Summer,10,16,7,0,0,33,HOLTZAPPLE M
CHEN,289,100,2015,Summer,16,0,0,0,0,16,GLOVER C
CHEN,313,200,2015,Summer,6,15,0,0,0,21,VADDIRAJU S
CHEN,455,150,2015,Summer,15,0,0,0,0,15,CHENG Z
CHEN,464,200,2015,Summer,8,8,4,0,1,21,JEONG H
CHEN,471,150,2015,Summer,15,0,0,0,0,15,KAO K
CVEN,302,300,2015,Summer,7,8,6,0,0,21,CHANG K
CVEN,305,301,2015,Summer,46,24,20,4,1,95,BEASON W
CVEN,322,250,2015,Summer,17,3,0,0,0,20,QUADRIFOGLIO L
CVEN,339,150,2015,Summer,9,5,2,0,0,16,OLIVERA F
CVEN,339,200,2015,Summer,7,19,7,0,1,34,CAHILL A
CVEN,345,300,2015,Summer,3,6,4,0,0,13,LOWERY L
CVEN,349,250,2015,Summer,20,0,0,0,0,20,DAMNJANOVIC I
CVEN,365,301,2015,Summer,11,12,0,0,0,23,AUBENY C
CVEN,400,300,2015,Summer,12,0,0,0,0,12,PITTMAN L
CVEN,403,100,2015,Summer,24,1,0,0,0,25,GHARAIBEH N
CVEN,423,150,2015,Summer,12,2,1,0,1,16,OLIVERA F
CVEN,444,150,2015,Summer,8,7,2,0,0,17,BARROSO L
CVEN,483,150,2015,Summer,13,4,0,0,0,17,BARROSO L
ENGR,111,100,2015,Summer,41,2,0,0,0,43,LARA R
ENGR,112,200,2015,Summer,57,15,1,0,1,74,MENDOZA D
ENGR,385,304,2015,Summer,0,13,0,0,0,13,UGAZ V
ENGR,385,312,2015,Summer,15,0,0,0,0,15,GAUTAM N
ENGR,385,313,2015,Summer,31,0,0,0,0,31,CATON J
ENGR,410,150,2015,Summer,28,0,0,0,0,28,LAWRENCE F
ENGR,482,150,2015,Summer,15,3,0,0,0,18,STRZELEC A
CSCE,111,300,2015,Summer,3,2,2,0,0,7,HURLEY J
CSCE,121,100,2015,Summer,7,10,5,1,1,24,DAUGHERITY W
CSCE,121,101,2015,Summer,7,12,5,2,1,27,DAUGHERITY W
CSCE,206,302,2015,Summer,11,8,5,0,0,24,HURLEY J
CSCE,221,200,2015,Summer,11,9,3,2,1,26,LEYK T
CSCE,221,201,2015,Summer,6,6,6,2,0,20,LEYK T
CSCE,222,100,2015,Summer,9,16,13,2,0,40,SARIN V
CSCE,310,200,2015,Summer,37,23,0,0,0,60,JIANG A
CSCE,313,100,2015,Summer,7,8,8,1,0,24,BETTATI R
CSCE,315,100,2015,Summer,9,8,4,1,0,22,DAUGHERITY W
CSCE,411,100,2015,Summer,12,8,6,3,0,29,WILLIAMS T
ECEN,214,301,2015,Summer,2,2,3,0,0,7,MILLER S
ECEN,214,302,2015,Summer,2,2,4,0,0,8,MILLER S
ECEN,214,303,2015,Summer,3,6,2,0,0,11,MILLER S
ECEN,215,301,2015,Summer,4,7,2,0,0,13,VILLAREAL S
ECEN,215,302,2015,Summer,4,7,8,4,0,23,VILLAREAL S
ECEN,215,303,2015,Summer,4,5,5,1,1,16,VILLAREAL S
ECEN,248,301,2015,Summer,6,5,1,1,0,13,CHOI S
ECEN,248,302,2015,Summer,5,3,3,0,0,11,CHOI S
ECEN,314,250,2015,Summer,8,2,0,0,0,10,BHATTACHARYYA S
ECEN,314,301,2015,Summer,5,8,11,1,4,29,TYLER J
ECEN,322,250,2015,Summer,9,1,0,0,0,10,JI J
ECEN,322,300,2015,Summer,3,6,12,2,2,25,TYLER J
ECEN,325,300,2015,Summer,4,2,0,2,0,8,HOYOS S
ECEN,325,301,2015,Summer,3,2,0,1,0,6,HOYOS S
ECEN,350,301,2015,Summer,2,7,2,0,0,11,GRATZ P
ECEN,350,302,2015,Summer,6,9,0,0,0,15,GRATZ P
ECEN,370,300,2015,Summer,7,8,1,0,0,16,ZOU J
ECEN,404,300,2015,Summer,7,4,2,1,0,14,VILLAREAL S
ECEN,410,250,2015,Summer,12,0,0,0,0,12,JI J
ECEN,444,250,2015,Summer,5,0,0,0,0,5,BRAGA N
ECEN,485,350,2015,Summer,13,0,0,0,0,13,KARSILAYAN A
ENDG,105,100,2015,Summer,12,26,0,0,0,38,HUTCHINSON R
ENDG,407,200,2015,Summer,12,10,2,0,0,24,SCHREUDERS P
ENTC,181,201,2015,Summer,1,1,8,1,0,11,HUNG N
ENTC,181,202,2015,Summer,6,6,3,0,1,16,HUNG N
ENTC,181,203,2015,Summer,4,6,4,2,2,18,HUNG N
ENTC,206,201,2015,Summer,4,6,4,0,0,14,FANG G
ENTC,206,202,2015,Summer,6,8,2,0,0,16,FANG G
ENTC,207,101,2015,Summer,5,6,1,0,0,12,PRICE A
ENTC,207,102,2015,Summer,2,5,0,1,0,8,PRICE A
ENTC,210,201,2015,Summer,5,1,5,0,1,12,PORTER J
ENTC,275,201,2015,Summer,2,7,5,0,0,14,KUTTOLAMADOM M
ENTC,315,101,2015,Summer,6,5,0,0,0,11,GOULART A
ENTC,329,101,2015,Summer,3,7,2,0,0,12,ZHAN W
ENTC,485,300,2015,Summer,9,0,0,0,0,9,HSIEH S
IDIS,300,101,2015,Summer,11,8,2,0,0,21,LORENZO R
IDIS,300,102,2015,Summer,2,15,3,0,0,20,LORENZO R
IDIS,400,201,2015,Summer,2,8,2,0,0,12,LORENZO R
IDIS,400,202,2015,Summer,2,4,0,0,0,6,LORENZO R
IDIS,403,900,2015,Summer,11,2,0,0,0,13,GOLLA M
IDIS,445,150,2015,Summer,28,0,0,0,0,28,LAWRENCE F
ISEN,315,100,2015,Summer,6,6,1,1,0,14,GUJJULA K
ISEN,316,200,2015,Summer,5,14,3,1,1,24,WORTMAN M
ISEN,608,300,2015,Summer,6,6,2,0,0,14,SMITH D
ISEN,608,700,2015,Summer,7,1,0,0,0,8,SMITH D
ISEN,614,700,2015,Summer,2,3,0,0,0,5,DING Y
ISEN,667,700,2015,Summer,4,1,0,0,0,5,JOHNSON A
MSEN,689,301,2015,Summer,5,1,0,0,0,6,HOLZENBURG A
MEEN,221,300,2015,Summer,18,17,12,2,3,52,MCVAY M
MEEN,222,300,2015,Summer,18,17,2,1,0,38,OZKAN T
MEEN,315,300,2015,Summer,27,19,17,11,8,82,CHAROENPHOL P
MEEN,363,300,2015,Summer,9,9,2,1,0,21,HAGLUND J
MEEN,364,300,2015,Summer,9,8,2,1,0,20,HAGLUND J
MEEN,368,150,2015,Summer,10,4,3,0,0,17,HOGAN H
MEEN,401,300,2015,Summer,11,0,0,0,0,11,AMINI N
MEEN,402,300,2015,Summer,14,0,1,0,0,15,SCHNEIDER W
MEEN,402,301,2015,Summer,12,2,1,0,0,15,SCHNEIDER W
MEEN,404,301,2015,Summer,9,18,1,0,0,28,CATON J
MEEN,442,300,2015,Summer,6,3,4,1,0,14,DORON Y
MEEN,461,300,2015,Summer,12,16,19,1,1,49,LAU S
MEEN,464,300,2015,Summer,10,7,1,0,0,18,KIM H
MEEN,475,150,2015,Summer,17,0,0,0,0,17,HOGAN H
MEEN,632,300,2015,Summer,6,12,1,0,0,19,DORON Y
MEEN,685,601,2015,Summer,9,0,0,0,0,9,MORRISON G
NUEN,302,300,2015,Summer,14,1,6,0,3,24,AKABANI H
NUEN,485,250,2015,Summer,18,0,0,0,0,18,SHAO L
PETE,301,250,2015,Summer,13,2,0,0,0,15,GILDIN E
PETE,325,150,2015,Summer,8,4,2,0,0,14,ZHU D
PETE,355,250,2015,Summer,3,7,5,0,0,15,NOYNAERT S
PETE,603,700,2015,Summer,9,6,1,0,0,16,MAGGARD J
PETE,623,300,2015,Summer,7,0,0,0,0,7,HASCAKIR B
PETE,623,700,2015,Summer,12,2,0,0,0,14,HASCAKIR B
PETE,640,100,2015,Summer,13,0,0,0,0,13,MORIDIS G
PETE,661,300,2015,Summer,6,1,0,0,0,7,SCHUBERT J
PETE,661,700,2015,Summer,12,5,2,0,0,19,SCHUBERT J
PETE,663,300,2015,Summer,4,7,0,0,0,11,AYERS W
PETE,663,700,2015,Summer,9,16,4,0,0,29,AYERS W
PETE,663,720,2015,Summer,1,6,5,0,0,12,AYERS W
